input,output,evidence,type
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
GCR2,GPM1 + ENO2 + TDH2 + TDH3 + PGI1 + PYC1 + FBA1 + PDC1, ChIP-chip,tfbinding
RAP1,HAP1 + OAF1 + TDH3 + CRC1 + TYE7 + HSF1 + RAP1 + PFK27 + ENO1 + ENO2 + ADH1 + GCN4 + HXT5 + GPM2 + SIP4 + CAT5 + ADH3 + CDC19 + PGI1 + PDC1 + HAP3 + GPM1 + SNF4 + TDH2 + PEX6, ChIP-chip,tfbinding
GCR2(ko) + lactate + glycerol,HXK1(down_weak) + PFK2(down_weak) + ENO1(down_strong) + TDH3(down_strong) + CDC19(down_strong) + TPI1(down_strong) + TDH1(down_medium) + PGI1(down_strong) + TDH2(down_strong) + FBA1(down_strong) + GPM1(down_strong) + ENO2(down_strong) + PGK1(down_strong)," prot-act ,  kPCR ,  northern_blot",expression
lactate + glycerol + GCR1(ko),HXK1(down_medium) + CDC19(down_strong) + PGK1(down_strong) + FBA1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + ENO1(down_strong) + PFK2(down_weak) + TDH3(down_strong) + PGI1(down_strong) + TDH2(down_strong) + TPI1(down_strong) + PFK1(down_weak) + ENO2(down_strong)," northern_blot ,  prot-act ,  kPCR",expression
osmotic_shock,HXK2(down_medium) + ALD6(down_medium) + DAK1(up_medium) + ENO2(down_medium) + PDC1(down_medium) + GPD1(up_medium) + HOR2(up_medium) + FBA1(down_medium) + ENO1(up_medium), 2d-gel,expression
sorbac,HXT6(up_weak) + CRC1(down_weak) + HXT7(up_weak) + REG2(down_weak) + ADH3(down) + TDH1(up) + IDH2(up_weak) + ENO2(down) + SDH3(up_weak) + GCN4(up_weak) + PCK1(down_medium) + STL1(up_weak) + TDH2(up_weak) + SIP4(down_weak) + SFC1(down_weak) + FBA1(up_weak) + HAP1(up_weak)," proteomics ,  High-throughput mRNA expression evidence",expression
glycerol + lactate + GCR1(ko),PGK1(down_medium) + PGI1(down_medium) + ENO2(down_strong) + TDH3(down_strong) + TDH1(down_strong) + GPM1(down_strong) + TPI1(down_strong) + ENO1(down_strong) + FBA1(down_medium) + CDC19(down_strong) + GCR1(down_medium) + TDH2(down_strong), microarray,expression
lactate,PGK1(down_weak) + LPD1(up_medium) + PGM1(down_medium) + ADH1(down_weak) + PDC1(down_weak) + FBA1(down_weak) + ENO1(down_medium) + CDC19(down_medium) + PFK1(down_weak) + ENO2(down_medium) + PFK2(down_medium) + TPI1(down_weak)," lacZ ,  northern_blot",expression
HSF1,PGK1 + TYE7 + ENO2, ChIP-chip,tfbinding
oleic_acid,PGK1(down_weak) + ENO2(down_medium) + TDH2(down_weak) + DCI1(up_strong) + HXT2(down_medium) + HXT5(down_weak) + TDH3(down_medium) + FAA4(down_medium) + CRC1(up_weak) + PEX11(up_medium) + SPS19(up_strong) + TPI1(down_weak) + FAA2(up_strong) + PEX25(up_weak) + FOX2(up_strong) + PDC5(down_medium) + ENO1(down_medium) + TES1(up_strong) + MDH3(up_weak) + FBA1(down_weak) + POT1(up_weak) + YJL045W(down_medium) + CAT2(up_weak) + PDC1(down_medium) + TDH1(down_medium) + ECI1(up_strong) + YAT1(down_weak) + PXA2(up_medium) + CTA1(up_strong) + IDP3(up_medium) + POX1(up_strong) + PIP2(up_medium), microarray,expression
TYE7(ko) + glucose,PGM1(down_medium) + ENO1(down_medium) + ENO2(down_medium)," northern_blot ,  western_blot",expression
HSF1(ko) + heat_shock,SIP4(down) + PGK1(down) + CYB2(down) + TYE7(down) + ENO2(down) + HXT5(down) + SDH3(down) + HXK1(down), microarray,expression
GCR2(ko) + lactate + glycerol,TDH2(down_medium) + GPM1(down_strong) + FBA1(down_strong) + GUT2(down_medium) + IDH1(down_medium) + PGI1(down_strong) + TDH3(down_medium) + ENO1(down_strong) + TDH1(down_strong) + ENO2(down_strong) + IDH2(down_medium) + TPI1(down_strong) + PFK2(down_medium) + CDC19(down_strong) + PGK1(down_strong), microarray,expression
glycerol + lactate + GCR1(ko),TDH3(down_strong) + TDH1(down_strong) + ENO2(down_strong) + ENO1(down_strong) + TDH2(down_strong)," northern_blot ,  western_blot",expression
HSF1,TDH3 + DAL7 + ENO2 + GPM1, ChIP-chip,tfbinding
glycerol + GCR1(ko) + lactate,TPI1(down_strong) + TDH1(down_medium) + ENO1(down_strong) + GLK1(up_medium) + HXT4(up_medium) + CDC19(down_strong) + ADH1(down_medium) + PFK1(down_medium) + TDH2(down_strong) + GPM1(down_strong) + FBA1(down_strong) + PGI1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + IDH1(down_medium) + PGK1(down_strong) + IDH2(down_medium), microarray,expression
aa_starvation,TPI1(down_medium) + HXK2(up_medium) + ENO2(down_medium) + ADH1(down_medium) + PFK2(up_medium) + FBA1(down_medium) + TDH3(down_medium) + MAE1(up_medium) + ADH5(up_medium) + PDC1(down_medium)," 2d-gel ,  MS",expression
glycerol + lactate,TPI1(down_medium) + GPM1(down_strong) + TDH1(up_strong) + ENO1(down_strong) + ENO2(down_strong), microarray,expression
