input,output,evidence,type
rapamycin,HXT1(down_medium) + PDC6(up_strong) + HAP5(up_medium) + CTA1(up_medium) + SIP4(up_strong) + ICL1(up_medium) + PYC1(up_medium) + CIT3(up_strong) + HXT5(up_medium) + CAT8(up_medium) + IDP2(up_medium) + ECI1(up_medium) + FBP1(up_medium) + DAL7(up_strong) + PCK1(up_medium) + CRC1(up_strong) + GSM1(up_medium) + JEN1(up_medium) + ACS1(up_medium) + PIP2(up_medium) + CYB2(up_medium) + MLS1(up_strong) + YJL045W(up_medium) + POX1(up_medium) + SDH3(up_medium) + CAT2(up_strong) + CIT2(up_medium) + IDP3(up_medium) + PXA2(up_medium) + POT1(up_medium) + YAT1(up_strong) + YAT2(up_strong) + CIT1(up_medium) + MDH2(up_medium) + PEX11(up_medium) + GID8(up_medium), microarray,expression
glucose + MIG1,HXT3(down) + PCK1(down) + HXT2(down) + CAT8(down) + HXK1(down) + GLK1(down) + FBP1(down) + HXT4(down) + SNF3(down) + HAP4(down) + PDC1(down) + MLS1(down) + ICL1(down), review,expression
sorbac,HXT6(up_weak) + CRC1(down_weak) + HXT7(up_weak) + REG2(down_weak) + ADH3(down) + TDH1(up) + IDH2(up_weak) + ENO2(down) + SDH3(up_weak) + GCN4(up_weak) + PCK1(down_medium) + STL1(up_weak) + TDH2(up_weak) + SIP4(down_weak) + SFC1(down_weak) + FBA1(up_weak) + HAP1(up_weak)," proteomics ,  High-throughput mRNA expression evidence",expression
arsenic + RPN4(ko),HXT6(up_medium) + IDH1(up_medium) + HXT3(up_medium) + HXT5(up_medium) + HXT7(up_medium) + GLK1(up_medium) + GUT2(up_medium) + IDH2(up_medium) + MIG1(up_medium) + HAP4(up_medium) + PCK1(down_medium) + PDC6(up_medium) + PDC5(up_medium) + CIT2(up_medium) + MAE1(up_medium) + PGI1(up_medium) + SDH4(up_medium) + CIT1(up_medium), microarray,expression
ASH1,HXT6 + PCK1, ChIP-chip,tfbinding
ethanol + CAT8(ko),ICL1(down_strong) + PCK1(down_strong) + FBP1(down_strong), prot-act,expression
SDH2(ko) + ethanol,ICL1(up_medium) + CAT2(up_medium) + PCK1(up_medium) + MDH1(up_medium) + MDH2(up_medium), prot-act,expression
glucose + HXK2(ko),ICL1(up_strong) + HXT6(up_strong) + MAE1(down_medium) + SDH3(up_medium) + HXT1(down_strong) + HXT5(up_medium) + MDH2(up_medium) + PCK1(up_medium) + ALD4(up_medium) + HXK1(up_strong) + HXK2(down_strong) + MDH1(up_medium) + PDC5(down_medium) + IDP2(up_strong) + CIT1(up_medium) + HXT7(up_strong) + CIT3(up_medium) + MLS1(up_strong) + KGD2(up_medium) + SDH4(up_strong) + MDH3(up_medium) + FBP1(up_strong) + SDH2(up_medium) + HXT4(up_strong) + LSC2(up_medium) + SDH1(up_medium), microarray,expression
nfcs + CAT8,ICL1(up) + SFC1(up) + MLS1(up) + PCK1(up) + FBP1(up), author-statement,expression
SIP4,ICL1 + PCK1, ChIP-chip,tfbinding
nfcs + CAT8,IDP2(up) + MLS1(up) + ACS1(up) + SFC1(up) + PCK1(up) + ICL1(up) + JEN1(up) + FBP1(up) + SIP4(up), author-statement,expression
GSM1,IDP2 + PCK1 + HAP4 + FBP1, review,tfbinding
antimycin,IDP3(up_medium) + POX1(up_strong) + PCK1(up_strong) + CTA1(up_strong) + FOX2(up_medium), microarray,expression
glucose,JEN1(down_strong) + FBP1(down_strong) + SFC1(down_strong) + POT1(down_strong) + ICL1(down_strong) + CTA1(down_strong) + CIT3(down_strong) + PCK1(down_strong) + ICL2(down_strong) + GUT1(down_strong) + IDP3(down_strong) + REG2(down_strong) + ACS1(down_strong) + YAT1(down_strong) + POX1(down_strong) + IDP2(down_strong) + YAT2(down_strong), microarray,expression
selenite,MAE1(down_medium) + PCK1(up_medium) + FAA2(up_medium) + IDP2(up_medium) + GSM1(up_medium) + POX1(up_medium) + HXT1(down_medium) + SIP4(up_medium) + TES1(up_medium) + HXT6(up_medium) + ACO2(down_medium) + SDH3(down_medium) + ECI1(up_medium) + FAA4(up_medium) + ADR1(up_medium) + CYB2(up_strong) + ADH2(down_medium) + MLS1(down_medium) + REG2(up_medium) + GUT2(up_medium) + PXA2(up_strong) + DLD1(down_medium) + DAL7(up_medium) + CIT2(up_medium) + CTA1(up_strong) + FBP1(up_medium) + PXA1(up_medium) + CIT3(up_medium) + HXK1(up_strong) + FOX2(up_medium) + ACO1(down_strong) + HXT7(up_medium) + SPS19(up_medium) + HXT5(up_medium) + PYC1(up_medium) + JEN1(up_medium) + HXT2(down_medium) + GLK1(up_medium) + HXT4(down_medium) + CAT2(up_medium), microarray,expression
FBP1(ko) + ethanol,MDH1(up_medium) + PCK1(up_medium) + CAT2(up_medium) + MDH2(up_medium) + ICL1(up_medium), prot-act,expression
SIP4,MDH2 + SFC1 + ICL1 + PCK1 + MLS1, ChIP-chip,tfbinding
SIP4,MLS1 + SFC1 + PCK1 + FBP1 + MDH2 + ICL1, review,tfbinding
MIG1 + glucose,MLS1 + SNF3 + HXT4 + MIG1 + HAP4 + HXT2 + ICL1 + HXT3 + HXK1 + PDC1 + FBP1 + CAT8 + GLK1 + PCK1, review,tfbinding
ERT1(ko) + ethanol,PCK1(down_weak), review,expression
ethanol + SNF4(ko),PCK1(down_strong), lacZ,expression
glucose,PCK1(down_strong), lacZ,expression
glucose,PCK1(down_strong) + FBP1(down_strong), northern_blot,expression
arsenic + CAD1(ko),PCK1(down_medium) + CYB2(down_medium) + HXT2(down_medium), microarray,expression
ethanol,PCK1(up_strong) + ICL1(up_strong) + FBP1(up_strong), prot-act,expression
MIG1,PCK1 + FBP1, consensus,tfbinding
ethanol,PCK1(up_strong), mRNA,expression
HAP2/3/4/5,PCK1 + FBP1, consensus,tfbinding
RSF2(ko) + glycerol,PCK1(down_medium) + CIT3(down_medium) + PFK27(up_weak) + FBP1(down_weak) + ACH1(down_strong) + SFC1(down_medium) + HAP4(down_medium) + HXT1(up_weak) + SDH3(down_weak), microarray,expression
ethanol,PCK1(up_strong), lacZ,expression
ethanol,PCK1(up_strong) + FBP1(up_strong), lacZ,expression
MCM1,PCK1 + KGD2, ChIP-chip,tfbinding
ethanol + CAT8,PCK1(up) + FBP1(up) + MLS1(up) + SFC1(up) + ICL1(up), site-mutation,expression
RSF1(ko) + glycerol,PCK1(down_medium) + SFC1(down_medium) + FBP1(down_medium) + PFK27(up_strong) + ACH1(down_strong) + HXT1(up_medium) + HXT2(up_weak), microarray,expression
glucose,PCK1(down_strong) + ICL1(down_strong) + FBP1(down_strong), prot-act,expression
ethanol + ERT1,PCK1, review,tfbinding
CAT8(ko) + ethanol,PCK1(down_strong), lacZ,expression
ethanol + SNF1(ko),PCK1(down_strong), lacZ,expression
CAT5(ko) + ethanol,PCK1(down_strong), lacZ,expression
OAF1(ko) + oleic_acid,PEX25(down_weak) + PXA1(down_weak) + POT1(down_weak) + ICL1(up_medium) + OAF1(down_strong) + MLS1(up_medium) + CTA1(down_strong) + FAA2(down_strong) + YAT1(up_weak) + SPS19(down_strong) + MDH2(up_weak) + ADH2(up_weak) + DCI1(down_medium) + CIT3(up_weak) + CIT2(up_medium) + FOX2(down_strong) + IDP3(down_medium) + PIP2(down_medium) + STL1(up_weak) + FAA1(up_weak) + PCK1(up_weak) + TES1(down_strong) + ECI1(down_strong) + ACO2(down_medium) + POX1(down_strong) + PXA2(down_medium) + YAT2(up_weak) + HXT5(up_weak) + YJL045W(up_medium), microarray,expression
ethanol + RDS2,PFK27 + YAT1 + PDC1 + CIT1 + OPI1 + SFC1 + MAE1 + VID24 + MLS1 + SDH4 + PCK1 + IDP2 + GID8 + ACS2 + KGD2 + FBP1 + LSC2 + HAP4 + SIP4, ChIP-chip,tfbinding
NaCl + SKN7,PGK1 + HXT6 + HAP4 + PCK1 + TDH3 + CIT1 + POX1 + MDH2 + GID8 + HXK1 + SDH1 + ACO1 + STL1 + PFK27, ChIP-chip,tfbinding
CO2(high) + glucose(low),PYC1(up_medium) + PCK1(up_strong), microarray,expression
GCN4,PYC2 + PCK1 + IDH1 + GID8 + ACO2, ChIP-chip,tfbinding
aa_starvation,PYC2(up_medium) + ICL1(up_strong) + CRC1(up_strong) + JEN1(up_medium) + ECI1(up_medium) + PXA2(up_medium) + CAT2(up_medium) + GID8(up_medium) + HXT4(down_medium) + DAL7(up_medium) + YAT2(up_strong) + PCK1(up_medium) + ADH2(up_medium) + SIP4(up_strong) + PIP2(up_medium) + ANT1(up_medium) + IDP2(up_medium) + HXT2(down_medium) + CTA1(up_medium) + ACO2(up_medium) + HAP4(up_medium) + MLS1(up_medium) + FBP1(up_medium), microarray,expression
gluc_depl,REG2(up_strong) + IDP3(up_strong) + CTA1(up_strong) + SFC1(up_strong) + POX1(up_strong) + FBP1(up_strong) + YAT1(up_strong) + ICL2(up_strong) + ICL1(up_strong) + CIT3(up_strong) + ACS1(up_strong) + GUT1(up_strong) + POT1(up_strong) + PCK1(up_strong) + IDP2(up_strong) + YAT2(up_strong) + JEN1(up_strong), microarray,expression
glucose(low) + HAP1(ko),REG2(down_weak) + STL1(down_medium) + ROX1(down_weak) + PCK1(down_weak) + MLS1(down_medium) + DLD1(down_weak) + CYB2(down_medium), microarray,expression
ethanol + CAT8(ko),REG2(down_medium) + IDP2(down_strong) + MDH2(down_medium) + JEN1(down_strong) + ICL1(down_strong) + DLD1(down_medium) + CRC1(down_strong) + PCK1(down_strong) + ALD6(down_strong) + SFC1(down_strong) + FBP1(down_strong) + STL1(down_medium) + YAT2(down_strong) + ACS1(down_strong) + DAL81(down_medium) + MLS1(down_strong) + CAT2(down_medium) + SIP4(down_strong) + ACH1(down_medium)," microarray ,  northern_blot ,  proteomics",expression
HXK2(ko) + glucose + HAP4(oe),SDH4(up_strong) + IDH1(up_medium) + HXT1(down_strong) + HXK2(down_strong) + SDH1(up_medium) + ACS1(up_strong) + MDH1(up_medium) + MDH2(up_strong) + CIT1(up_medium) + TDH1(down_medium) + IDP2(up_strong) + CAT2(up_strong) + CIT3(up_strong) + PFK1(down_medium) + ALD4(up_strong) + SDH2(up_strong) + HXK1(up_medium) + FBP1(up_strong) + PDC5(down_medium) + GLK1(up_medium) + HXT7(up_strong) + ADH2(up_strong) + MDH3(up_medium) + ENO1(down_strong) + MLS1(up_strong) + FUM1(up_strong) + HXT4(up_medium) + HXT5(up_strong) + SDH3(up_medium) + KGD2(up_medium) + PFK2(down_medium) + LSC2(up_medium) + HXT6(up_strong) + ICL1(up_strong) + PCK1(up_strong), microarray,expression
CAT8 + gluc_depl,SFC1 + FBP1 + CAT2 + ACS1 + YAT2 + ADH2 + MDH2 + ICL1 + MLS1 + ALD6 + DLD1 + ACH1 + JEN1 + PCK1 + REG2 + IDP2, ChIP-chip,tfbinding
CAT8,SFC1 + ICL1 + FBP1 + PCK1 + MDH2 + MLS1, review,tfbinding
FHL1,YAT1 + DLD1 + TDH3 + CIT2 + FAA4 + GLK1 + ADR1 + TPI1 + PCK1 + ACO1 + PDC1 + GPM1 + TES1 + PGI1 + GUT1 + GUT2 + ENO1 + HAP1 + MAE1 + GID8, ChIP-chip,tfbinding
