input,output,evidence,type
cAMP + ethanol,GLK1(up_strong) + FBP1(down_strong), northern_blot,expression
glucose,GLK1(down_strong) + FBP1(down_strong), northern_blot,expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
RDS2(ko) + ethanol,HAP4(down) + FBP1(down) + GID8(up) + PCK1(down) + PFK27(up) + LSC2(down), review,expression
RDS2,HAP4 + PCK1 + OPI1 + SIP4 + GID8 + FBP1 + PFK27 + LSC2, review,tfbinding
rapamycin,HXT1(down_medium) + PDC6(up_strong) + HAP5(up_medium) + CTA1(up_medium) + SIP4(up_strong) + ICL1(up_medium) + PYC1(up_medium) + CIT3(up_strong) + HXT5(up_medium) + CAT8(up_medium) + IDP2(up_medium) + ECI1(up_medium) + FBP1(up_medium) + DAL7(up_strong) + PCK1(up_medium) + CRC1(up_strong) + GSM1(up_medium) + JEN1(up_medium) + ACS1(up_medium) + PIP2(up_medium) + CYB2(up_medium) + MLS1(up_strong) + YJL045W(up_medium) + POX1(up_medium) + SDH3(up_medium) + CAT2(up_strong) + CIT2(up_medium) + IDP3(up_medium) + PXA2(up_medium) + POT1(up_medium) + YAT1(up_strong) + YAT2(up_strong) + CIT1(up_medium) + MDH2(up_medium) + PEX11(up_medium) + GID8(up_medium), microarray,expression
glucose + MIG1,HXT3(down) + PCK1(down) + HXT2(down) + CAT8(down) + HXK1(down) + GLK1(down) + FBP1(down) + HXT4(down) + SNF3(down) + HAP4(down) + PDC1(down) + MLS1(down) + ICL1(down), review,expression
ethanol + CAT8(ko),ICL1(down_strong) + PCK1(down_strong) + FBP1(down_strong), prot-act,expression
glucose + HXK2(ko),ICL1(up_strong) + HXT6(up_strong) + MAE1(down_medium) + SDH3(up_medium) + HXT1(down_strong) + HXT5(up_medium) + MDH2(up_medium) + PCK1(up_medium) + ALD4(up_medium) + HXK1(up_strong) + HXK2(down_strong) + MDH1(up_medium) + PDC5(down_medium) + IDP2(up_strong) + CIT1(up_medium) + HXT7(up_strong) + CIT3(up_medium) + MLS1(up_strong) + KGD2(up_medium) + SDH4(up_strong) + MDH3(up_medium) + FBP1(up_strong) + SDH2(up_medium) + HXT4(up_strong) + LSC2(up_medium) + SDH1(up_medium), microarray,expression
nfcs + CAT8,ICL1(up) + SFC1(up) + MLS1(up) + PCK1(up) + FBP1(up), author-statement,expression
nfcs + CAT8,IDP2(up) + MLS1(up) + ACS1(up) + SFC1(up) + PCK1(up) + ICL1(up) + JEN1(up) + FBP1(up) + SIP4(up), author-statement,expression
GSM1,IDP2 + PCK1 + HAP4 + FBP1, review,tfbinding
glucose,JEN1(down_strong) + FBP1(down_strong) + SFC1(down_strong) + POT1(down_strong) + ICL1(down_strong) + CTA1(down_strong) + CIT3(down_strong) + PCK1(down_strong) + ICL2(down_strong) + GUT1(down_strong) + IDP3(down_strong) + REG2(down_strong) + ACS1(down_strong) + YAT1(down_strong) + POX1(down_strong) + IDP2(down_strong) + YAT2(down_strong), microarray,expression
selenite,MAE1(down_medium) + PCK1(up_medium) + FAA2(up_medium) + IDP2(up_medium) + GSM1(up_medium) + POX1(up_medium) + HXT1(down_medium) + SIP4(up_medium) + TES1(up_medium) + HXT6(up_medium) + ACO2(down_medium) + SDH3(down_medium) + ECI1(up_medium) + FAA4(up_medium) + ADR1(up_medium) + CYB2(up_strong) + ADH2(down_medium) + MLS1(down_medium) + REG2(up_medium) + GUT2(up_medium) + PXA2(up_strong) + DLD1(down_medium) + DAL7(up_medium) + CIT2(up_medium) + CTA1(up_strong) + FBP1(up_medium) + PXA1(up_medium) + CIT3(up_medium) + HXK1(up_strong) + FOX2(up_medium) + ACO1(down_strong) + HXT7(up_medium) + SPS19(up_medium) + HXT5(up_medium) + PYC1(up_medium) + JEN1(up_medium) + HXT2(down_medium) + GLK1(up_medium) + HXT4(down_medium) + CAT2(up_medium), microarray,expression
glucose(low) + CAT8(ko) + ADR1(ko),MDH2(down_strong) + MLS1(down_strong) + FBP1(down_strong) + ADY2(down_strong) + ADH2(down_strong) + ACS1(down_strong) + ALD4(down_medium) + POT1(up_weak) + FDH1(down_strong) + CTA1(up_weak) + POX1(down_strong) + FOX2(down_strong) + ATO3(down_strong) + ICL1(down_strong) + JEN1(down_strong) + CYB2(down_weak) + SPG1(up_weak) + SPS19(down_medium), kPCR,expression
oleic_acid + ADR1,MIG1 + SDH4 + ACO1 + FBP1 + CTA1 + HXT5 + HAP3 + CYB2 + PEX25 + PIP2 + HXT6 + HAP2, ChIP-chip,tfbinding
SIP4,MLS1 + SFC1 + PCK1 + FBP1 + MDH2 + ICL1, review,tfbinding
glucose(low) + CAT8,MLS1 + ADY2 + FBP1, ChIP,tfbinding
MIG1 + glucose,MLS1 + SNF3 + HXT4 + MIG1 + HAP4 + HXT2 + ICL1 + HXT3 + HXK1 + PDC1 + FBP1 + CAT8 + GLK1 + PCK1, review,tfbinding
oleic_acid + OAF3,OAF1 + RDS2 + FOX2 + ACO1 + SFC1 + FAA1 + HXT5 + FBP1 + FAA2 + RSF1 + HXT6 + YJL045W + SPS19 + POT1 + GLK1 + PXA2, ChIP-chip,tfbinding
glucose,PCK1(down_strong) + FBP1(down_strong), northern_blot,expression
ethanol,PCK1(up_strong) + ICL1(up_strong) + FBP1(up_strong), prot-act,expression
MIG1,PCK1 + FBP1, consensus,tfbinding
HAP2/3/4/5,PCK1 + FBP1, consensus,tfbinding
RSF2(ko) + glycerol,PCK1(down_medium) + CIT3(down_medium) + PFK27(up_weak) + FBP1(down_weak) + ACH1(down_strong) + SFC1(down_medium) + HAP4(down_medium) + HXT1(up_weak) + SDH3(down_weak), microarray,expression
ethanol,PCK1(up_strong) + FBP1(up_strong), lacZ,expression
ethanol + CAT8,PCK1(up) + FBP1(up) + MLS1(up) + SFC1(up) + ICL1(up), site-mutation,expression
RSF1(ko) + glycerol,PCK1(down_medium) + SFC1(down_medium) + FBP1(down_medium) + PFK27(up_strong) + ACH1(down_strong) + HXT1(up_medium) + HXT2(up_weak), microarray,expression
glucose,PCK1(down_strong) + ICL1(down_strong) + FBP1(down_strong), prot-act,expression
MIG1,PDC1 + HAP4 + FBP1," emsa ,  footprinting",tfbinding
rapamycin + GCN2(ko) + GLN3(ko),PDC6(down_medium) + ACS1(down_medium) + CAT2(down_medium) + CIT2(up_medium) + FBP1(down_medium) + ICL1(down_medium) + CTA1(down_medium) + SIP4(down_medium) + MLS1(down_medium) + YAT2(down_strong) + YAT1(down_medium) + CRC1(down_strong) + DAL7(down_medium) + CIT3(down_medium), microarray,expression
ethanol + RDS2,PFK27 + YAT1 + PDC1 + CIT1 + OPI1 + SFC1 + MAE1 + VID24 + MLS1 + SDH4 + PCK1 + IDP2 + GID8 + ACS2 + KGD2 + FBP1 + LSC2 + HAP4 + SIP4, ChIP-chip,tfbinding
aa_starvation,PYC2(up_medium) + ICL1(up_strong) + CRC1(up_strong) + JEN1(up_medium) + ECI1(up_medium) + PXA2(up_medium) + CAT2(up_medium) + GID8(up_medium) + HXT4(down_medium) + DAL7(up_medium) + YAT2(up_strong) + PCK1(up_medium) + ADH2(up_medium) + SIP4(up_strong) + PIP2(up_medium) + ANT1(up_medium) + IDP2(up_medium) + HXT2(down_medium) + CTA1(up_medium) + ACO2(up_medium) + HAP4(up_medium) + MLS1(up_medium) + FBP1(up_medium), microarray,expression
gluc_depl,REG2(up_strong) + IDP3(up_strong) + CTA1(up_strong) + SFC1(up_strong) + POX1(up_strong) + FBP1(up_strong) + YAT1(up_strong) + ICL2(up_strong) + ICL1(up_strong) + CIT3(up_strong) + ACS1(up_strong) + GUT1(up_strong) + POT1(up_strong) + PCK1(up_strong) + IDP2(up_strong) + YAT2(up_strong) + JEN1(up_strong), microarray,expression
ethanol + CAT8(ko),REG2(down_medium) + IDP2(down_strong) + MDH2(down_medium) + JEN1(down_strong) + ICL1(down_strong) + DLD1(down_medium) + CRC1(down_strong) + PCK1(down_strong) + ALD6(down_strong) + SFC1(down_strong) + FBP1(down_strong) + STL1(down_medium) + YAT2(down_strong) + ACS1(down_strong) + DAL81(down_medium) + MLS1(down_strong) + CAT2(down_medium) + SIP4(down_strong) + ACH1(down_medium)," microarray ,  northern_blot ,  proteomics",expression
HXK2(ko) + glucose + HAP4(oe),SDH4(up_strong) + IDH1(up_medium) + HXT1(down_strong) + HXK2(down_strong) + SDH1(up_medium) + ACS1(up_strong) + MDH1(up_medium) + MDH2(up_strong) + CIT1(up_medium) + TDH1(down_medium) + IDP2(up_strong) + CAT2(up_strong) + CIT3(up_strong) + PFK1(down_medium) + ALD4(up_strong) + SDH2(up_strong) + HXK1(up_medium) + FBP1(up_strong) + PDC5(down_medium) + GLK1(up_medium) + HXT7(up_strong) + ADH2(up_strong) + MDH3(up_medium) + ENO1(down_strong) + MLS1(up_strong) + FUM1(up_strong) + HXT4(up_medium) + HXT5(up_strong) + SDH3(up_medium) + KGD2(up_medium) + PFK2(down_medium) + LSC2(up_medium) + HXT6(up_strong) + ICL1(up_strong) + PCK1(up_strong), microarray,expression
CAT8 + gluc_depl,SFC1 + FBP1 + CAT2 + ACS1 + YAT2 + ADH2 + MDH2 + ICL1 + MLS1 + ALD6 + DLD1 + ACH1 + JEN1 + PCK1 + REG2 + IDP2, ChIP-chip,tfbinding
CAT8,SFC1 + ICL1 + FBP1 + PCK1 + MDH2 + MLS1, review,tfbinding
glucose(low),SFC1(up_strong) + IDP2(up_strong) + HXT5(up_strong) + CTA1(up_strong) + HXT3(down_strong) + JEN1(up_strong) + YAT2(up_strong) + POT1(up_strong) + ADH2(up_strong) + FBP1(up_strong) + CIT3(up_strong) + HXT1(down_strong) + POX1(up_strong), microarray,expression
glucose(low) + glycerol + ethanol,SIP4(down_strong) + CAT8(down_strong) + FBP1(down_strong), lacZ,expression
glucose(low) + ADR1(ko),SPS19(down_strong) + FDH1(down_strong) + FOX2(down_medium) + SPG1(down_medium) + CTA1(down_weak) + FBP1(down_weak) + ADY2(down_strong) + POX1(down_strong) + ALD4(down_medium) + ACS1(down_medium) + ADH2(down_strong) + MDH2(up_weak) + CYB2(down_medium) + MLS1(up_medium) + JEN1(down_weak) + ATO3(down_strong) + POT1(down_medium), kPCR,expression
OAF1 + oleic_acid,TDH3 + PDC1 + SDH4 + CTA1 + ANT1 + CIT3 + HAP3 + PEX11 + GUT2 + ICL1 + ACO1 + FBP1 + FBA1 + PIP2, ChIP-chip,tfbinding
glycerol + GCR1(ko) + lactate,TPI1(down_strong) + FBA1(down_strong) + FBP1(down_weak) + PGI1(down_strong) + PGK1(down_strong), prot-act,expression
