rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
OAC1	Mitochondrial oxaloacetate transport protein	0	1	1e-15	0	1	1e-15
OAC1Rev	Mitochondrial oxaloacetate transport protein	1e-15	0	0	1e-15	0	0
PCK	Phosphoenolpyruvate carboxykinase	1e-15	0	0	1e-15	0	0
PDC	Pyruvate decarboxylase	0.0494999056073948	0	0	0.212317610035017	0	0
PDH	pyruvate dehydrogenase	0.946281959002714	0	0	0.829394893053154	0	0
PFK	Phosphofructokinase	0.724412087239004	0	0	0.754095195345057	0	0
PGI	Glucose-6-phosphate isomerase	0.652632855774801	1.53225506676768e-15	9.99200722162641e-16	0.6926871193489	0.973944056142045	25.8919234065686
PGK	Phosphoglycerate kinase	1.45604777021011	6.86790653754237e-16	1.11022302462516e-15	1.5019784086882	0.948745178914939	27.8021607316193
PGL	6-phosphogluconolactonase	0.275195547196303	0	0	0.259638813994164	0	0
PGM1_2	phosphoglucomutase	0	1	1e-15	0	1	1e-15
PIIn	Uptake of Phosphate	0.0227013499999997	0	0	0.0227013499999964	0	0
PIOut	Production of Phosphate	0	1	1e-15	0	1	1e-15
PYC	pyruvate carboxylase	0.1832887152	0	0	0.1832887152	0	0
PyrOut	Pyruvate production	1e-15	0	0	1e-15	0	0
PyrTrans	Transport of pyruvate, mitochondrial	1.11561914940271	8.96363244154951e-16	1.11022302462516e-15	0.998732083453153	1.00126952620012e-15	9.99200722162641e-16
PyrTransRev	Transport of pyruvate, mitochondrial	1e-15	0	0	1e-15	0	0
RIP1	ubiquinol:ferricytochrome c reductase	5.43985971002368	0	0	5.67607032405227	0	0
RPE	ribulose 5-phosphate 3-epimerase	0.152569231464201	6.5544015028655e-15	9.99200722162641e-16	0.142198075996108	7.0324439553413e-15	9.99200722162641e-16
RPI	ribose-5-phosphate isomerase	0.1179058757321	8.48134152594857e-15	9.99200722162641e-16	0.112720297998055	0.868638208669366	0.745370147147759
SDH	Succinate dehydrogenase	0.732989159002714	0	0	0.7789173598719	0	0
ShuttleX	NAD(H) shuttle	1.51691471021011	6.5923284497748e-16	1.11022302462516e-15	1.68629958671151	5.93014436983954e-16	1.11022302462516e-15
ShuttleXRev	NAD(H) shuttle	1e-15	0	0	1e-15	0	0
TAL1	Transaldolase	0.0911265157320998	1.09737543673881e-14	9.99200722162641e-16	0.0859409379980502	0.962180661098004	2.186466261418
TKLa	transketolase 1	0.0911265157320998	1.09737543673881e-14	9.99200722162641e-16	0.0859409379980502	0.960639595181443	2.09749539590704
TKLb	transketolase 2	0.0614427157320998	1.6275322275144e-14	9.99200722162641e-16	0.0562571379980537	1.77755221041387e-14	9.99200722162641e-16
TPI	triose-phosphate isomerase	0.721942667239003	1.38515154371523e-15	9.99200722162641e-16	0.743375775345001	0.985327965075932	49.922791473586
VGro_DNA	DNA synthesis for growth	0.0012	0	0	0.0012	0	0
VGro_GLUCAN	Glucan synthesis for growth	0.11348	0	0	0.11348	0	0
VGro_GLYCOGEN	Glycogen synthesis for growth	0.05185	0	0	0.05185	0	0
VGro_LIPID	Lipid synthesis for growth	0.00269	0	0	0.00269	0	0
VGro_MAINTAIN	GAM	2.22105263157895	0	0	2.22105263157895	0	0
VGro_MANNAN	Mannan synthesis for growth	0.08079	0	0	0.08079	0	0
VGro_PROT	Protein synthesis for growth	0.414	0	0	0.414	0	0
VGro_RNA	RNA synthesis for growth	0.01966	0	0	0.01966	0	0
VGro_TREHALOSE	Trehalose synthesis for growth	0.00234	0	0	0.00234	0	0
ZWF	glucose 6-phosphate dehydrogenase	0.275195547196303	0	0	0.259638813994164	0	0
acIN	Uptake of acetate	0	1	1e-15	0	1	1e-15
acOUT	Production of acetate	3.90560739480655e-06	0	0	6.34321627246415e-06	0	0
biomassOUT	Production of biomass	0.099999999999999	1e-14	9.99200722162641e-16	0.099999999999999	1e-14	9.99200722162641e-16
co2OUT	Production of CO2	2.80065717461184	3.57059053519678e-16	8.88178419700125e-16	2.92288748162614	3.4212743606663e-16	8.88178419700125e-16
ethIN	Uptake of ethanol	0	1	1e-15	0	1	1e-15
ethOUT	Production of ethanol	1e-15	0	0	1e-15	0	0
galIN	Uptake of galactose	0	1	1e-15	0	1	1e-15
glcIN	Uptake of glucose	1.09836833297106	9.10441397463658e-16	1.11022302462516e-15	1.12286586334311	8.9057832519968e-16	1.11022302462516e-15
gluActiveIn	Active uptake of glucose	1e-15	0	0	1e-15	0	0
glyOUT	Production of glycerol	0	1	1e-15	0.008249999999999	1.21212121212121e-13	9.99200722162641e-16
o2IN	Uptake of O2	2.73904549501184	3.65090686453048e-16	8.88178419700125e-16	2.85715080202613	3.49999026754505e-16	8.88178419700125e-16
