rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
NDE2	NADH dehydrogenase, cytosolic/mitochondrial	1e-15	0	0	0.262498596279512	0	0
NDI1	NADH:ubiquinone oxidoreductase	7.88446524343671	0	0	6.87259053223647	0	0
OAC1	Mitochondrial oxaloacetate transport protein	0.0564401050735492	1.77178975605528e-14	9.99200722162641e-16	0.0536129165386938	1.86522216018272e-14	9.99200722162641e-16
OAC1Rev	Mitochondrial oxaloacetate transport protein	1e-15	0	0	1e-15	0	0
PCK	Phosphoenolpyruvate carboxykinase	1e-15	0	0	0.0384560678678614	0	0
PDC	Pyruvate decarboxylase	15.2853263821094	0	0	16.4355504728803	0	0
PDH	pyruvate dehydrogenase	1.39268746329379	0	0	1.23856743855267	0	0
PFK	Phosphofructokinase	9.35764362643838	0	0	9.85821040256423	0	0
PGI	Glucose-6-phosphate isomerase	9.29785482643838	1.07551690004506e-16	1.77635683940025e-15	9.78113495207787	0.113227666532732	1.24890577306943
PGK	Phosphoglycerate kinase	18.6305175728768	5.36753740784876e-17	0	19.6237944503716	0.0599504591340385	1.25148243375348
PGL	6-phosphogluconolactonase	0.75979	0	0	0.785719975729572	0	0
PGM1_2	phosphoglucomutase	0	1	1e-15	0	1	1e-15
PIIn	Uptake of Phosphate	0.0908054000000043	0	0	0.0908053999999829	0	0
PIOut	Production of Phosphate	0	1	1e-15	0	1	1e-15
PYC	pyruvate carboxylase	0.78959496587355	0	0	0.825223845206556	0	0
PyrOut	Pyruvate production	0.055	0	0	0.055	0	0
PyrTrans	Transport of pyruvate, mitochondrial	2.07003622489379	4.83083333506064e-16	8.88178419700125e-16	1.91591620015267	5.21943496234499e-16	1.11022302462516e-15
PyrTransRev	Transport of pyruvate, mitochondrial	1e-15	0	0	1e-15	0	0
RIP1	ubiquinol:ferricytochrome c reductase	8.48042161180405	0	0	7.57409828360735	0	0
RPE	ribulose 5-phosphate 3-epimerase	0.382948799999999	2.61131514186753e-15	9.99200722162641e-16	0.40023545048638	2.4985293001526e-15	9.99200722162641e-16
RPI	ribose-5-phosphate isomerase	0.357959439999999	2.79361259476772e-15	9.99200722162641e-16	0.36660276524319	2.72774810996484e-15	9.99200722162641e-16
SDH	Succinate dehydrogenase	0.595956368367341	0	0	0.439009155091369	0	0
ShuttleX	NAD(H) shuttle	4.46864295076734	2.23781584480426e-16	8.88178419700125e-16	4.084557092671	2.44824586194258e-16	8.88178419700125e-16
ShuttleXRev	NAD(H) shuttle	1e-15	0	0	1e-15	0	0
TAL1	Transaldolase	0.250841999999999	3.98657322139036e-15	9.99200722162641e-16	0.25948532524319	3.85378247907775e-15	9.99200722162641e-16
TKLa	transketolase 1	0.250841999999999	3.98657322139036e-15	9.99200722162641e-16	0.25948532524319	3.85378247907775e-15	9.99200722162641e-16
TKLb	transketolase 2	0.132106799999999	7.56963305446805e-15	9.99200722162641e-16	0.14075012524319	7.10478941508705e-15	9.99200722162641e-16
TPI	triose-phosphate isomerase	9.34776594643838	1.06977432439995e-16	1.77635683940025e-15	9.8318327225642	0.82202365156985	45.4105228448268
VGro_DNA	DNA synthesis for growth	0.0048	0	0	0.0048	0	0
VGro_GLUCAN	Glucan synthesis for growth	0.45392	0	0	0.45392	0	0
VGro_GLYCOGEN	Glycogen synthesis for growth	0.2074	0	0	0.2074	0	0
VGro_LIPID	Lipid synthesis for growth	0.01076	0	0	0.01076	0	0
VGro_MAINTAIN	GAM	10	0	0	10	0	0
VGro_MANNAN	Mannan synthesis for growth	0.32316	0	0	0.32316	0	0
VGro_PROT	Protein synthesis for growth	1.656	0	0	1.656	0	0
VGro_RNA	RNA synthesis for growth	0.07864	0	0	0.07864	0	0
VGro_TREHALOSE	Trehalose synthesis for growth	0.00936	0	0	0.00936	0	0
ZWF	glucose 6-phosphate dehydrogenase	0.75979	0	0	0.785719975729572	0	0
acIN	Uptake of acetate	0	1	1e-15	0	1	1e-15
acOUT	Production of acetate	0.682	0	0	0.682	0	0
biomassOUT	Production of biomass	0.399999999999999	2.5e-15	9.99200722162641e-16	0.399999999999999	2.5e-15	9.99200722162641e-16
co2OUT	Production of CO2	18.9409624664114	5.27956275597574e-17	0	19.646274893084	5.09002345453298e-17	0
ethIN	Uptake of ethanol	0	1	1e-15	0	1	1e-15
ethOUT	Production of ethanol	14.4053423821094	0	0	15.5555664728803	0	0
galIN	Uptake of galactose	0	1	1e-15	0	1	1e-15
glcIN	Uptake of glucose	10.7398045464383	9.31115641514757e-17	1.77635683940025e-15	11.2490146478074	8.88966750696618e-17	1.77635683940025e-15
gluActiveIn	Active uptake of glucose	1e-15	0	0	1e-15	0	0
glyOUT	Production of glycerol	0	1	1e-15	0.016499999999999	6.06060606060606e-14	9.99200722162641e-16
o2IN	Uptake of O2	4.31667336590203	2.31659872136523e-16	8.88178419700125e-16	3.86351170180367	2.58831880729946e-16	8.88178419700125e-16
