input,output,evidence,type
selenite,MAE1(down_medium) + PCK1(up_medium) + FAA2(up_medium) + IDP2(up_medium) + GSM1(up_medium) + POX1(up_medium) + HXT1(down_medium) + SIP4(up_medium) + TES1(up_medium) + HXT6(up_medium) + ACO2(down_medium) + SDH3(down_medium) + ECI1(up_medium) + FAA4(up_medium) + ADR1(up_medium) + CYB2(up_strong) + ADH2(down_medium) + MLS1(down_medium) + REG2(up_medium) + GUT2(up_medium) + PXA2(up_strong) + DLD1(down_medium) + DAL7(up_medium) + CIT2(up_medium) + CTA1(up_strong) + FBP1(up_medium) + PXA1(up_medium) + CIT3(up_medium) + HXK1(up_strong) + FOX2(up_medium) + ACO1(down_strong) + HXT7(up_medium) + SPS19(up_medium) + HXT5(up_medium) + PYC1(up_medium) + JEN1(up_medium) + HXT2(down_medium) + GLK1(up_medium) + HXT4(down_medium) + CAT2(up_medium), microarray,expression
DAL81,MDH2 + SIP4, ChIP-chip,tfbinding
RAP1,PDC1 + PFK27 + SIP4 + HXT5, ChIP-chip,tfbinding
rapamycin + GCN2(ko) + GLN3(ko),PDC6(down_medium) + ACS1(down_medium) + CAT2(down_medium) + CIT2(up_medium) + FBP1(down_medium) + ICL1(down_medium) + CTA1(down_medium) + SIP4(down_medium) + MLS1(down_medium) + YAT2(down_strong) + YAT1(down_medium) + CRC1(down_strong) + DAL7(down_medium) + CIT3(down_medium), microarray,expression
ethanol + RDS2,PFK27 + YAT1 + PDC1 + CIT1 + OPI1 + SFC1 + MAE1 + VID24 + MLS1 + SDH4 + PCK1 + IDP2 + GID8 + ACS2 + KGD2 + FBP1 + LSC2 + HAP4 + SIP4, ChIP-chip,tfbinding
UME6,PGI1 + CTA1 + SFC1 + GSM1 + FOX2 + CRC1 + CAT2 + CAT8 + SIP4 + YJL045W + ACS1, ChIP-chip,tfbinding
aa_starvation,PYC2(up_medium) + ICL1(up_strong) + CRC1(up_strong) + JEN1(up_medium) + ECI1(up_medium) + PXA2(up_medium) + CAT2(up_medium) + GID8(up_medium) + HXT4(down_medium) + DAL7(up_medium) + YAT2(up_strong) + PCK1(up_medium) + ADH2(up_medium) + SIP4(up_strong) + PIP2(up_medium) + ANT1(up_medium) + IDP2(up_medium) + HXT2(down_medium) + CTA1(up_medium) + ACO2(up_medium) + HAP4(up_medium) + MLS1(up_medium) + FBP1(up_medium), microarray,expression
ethanol + CAT8(ko),REG2(down_medium) + IDP2(down_strong) + MDH2(down_medium) + JEN1(down_strong) + ICL1(down_strong) + DLD1(down_medium) + CRC1(down_strong) + PCK1(down_strong) + ALD6(down_strong) + SFC1(down_strong) + FBP1(down_strong) + STL1(down_medium) + YAT2(down_strong) + ACS1(down_strong) + DAL81(down_medium) + MLS1(down_strong) + CAT2(down_medium) + SIP4(down_strong) + ACH1(down_medium)," microarray ,  northern_blot ,  proteomics",expression
CAT8(ko) + SIP4(oe) + ethanol + glycerol,SIP4(up_strong) + CSRE(up_strong), lacZ,expression
glucose(low) + glycerol + ethanol,SIP4(down_strong) + CAT8(down_strong) + FBP1(down_strong), lacZ,expression
ARG80,SIP4, ChIP-chip,tfbinding
glucose,SIP4(down_strong) + GLK1(down_strong) + CAT8(down_strong), lacZ,expression
ARG81,SIP4, ChIP-chip,tfbinding
ABF1 + acetate,SIP4 + TDH2, ChIP-chip,tfbinding
lactate + glycerol,SIP4(up_strong) + SDH4(up_strong) + SDH1(up_strong) + HXK2(up_strong) + ACO1(up_strong), RT-PCR,expression
ethanol,SIP4(up_strong) + GLK1(up_strong) + CAT8(up_strong), lacZ,expression
HSF1(ko) + heat_shock,SIP4(down) + PGK1(down) + CYB2(down) + TYE7(down) + ENO2(down) + HXT5(down) + SDH3(down) + HXK1(down), microarray,expression
RAP1,TDH2 + MDH2 + PFK27 + HXK1 + YJL045W + FBA1 + ACS1 + HXT5 + HAP5 + PEX25 + HXT6 + SIP4 + CRC1 + PDC1 + YAT1 + TPI1 + GUT1 + GPM1 + MAE1 + TDH3, ChIP-chip,tfbinding
rapamycin + GCN4(ko),YAT2(down_weak) + ICL1(down_medium) + SIP4(down_weak) + CAT2(down_weak) + DAL7(up_medium) + MLS1(up_weak) + CTA1(down_weak) + POX1(down_medium), microarray,expression
